,Position 0.0 mm,Position 1.0 mm,Position 2.0 mm,Position 3.0 mm,Position 4.0 mm,Position 5.0 mm,Position 6.0 mm,Position 7.0 mm,Position 8.0 mm,Position 9.0 mm,Position 10.0 mm,Position 11.0 mm,Position 12.0 mm,Position 13.0 mm,Position 14.0 mm,Position 15.0 mm,Position 16.0 mm,Position 17.0 mm,Position 18.0 mm,Position 19.0 mm,Position 20.0 mm,Position 21.0 mm,Position 22.0 mm,Position 23.0 mm,Position 24.0 mm,Position 25.0 mm,Position 26.0 mm
470,1000.00,948.52,897.22,846.32,795.98,746.38,697.69,650.06,603.62,558.48,514.75,472.50,431.77,392.60,355.00,318.95,284.41,251.33,219.61,189.17,159.88,131.60,104.20,77.52,51.37,25.59,0.00
471,1000.00,948.56,897.32,846.46,796.16,746.61,697.95,650.36,603.94,558.83,515.12,472.88,432.16,392.99,355.39,319.33,284.78,251.67,219.93,189.45,160.13,131.82,104.38,77.65,51.46,25.64,0.00
472,1000.00,948.61,897.41,846.60,796.35,746.83,698.22,650.65,604.27,559.18,515.49,473.26,432.55,393.38,355.78,319.71,285.14,252.01,220.25,189.74,160.38,132.04,104.56,77.79,51.56,25.69,0.00
473,1000.00,948.66,897.51,846.74,796.53,747.06,698.48,650.95,604.59,559.53,515.85,473.64,432.93,393.77,356.16,320.08,285.50,252.35,220.56,190.03,160.64,132.26,104.74,77.92,51.65,25.73,0.00
474,1000.00,948.71,897.60,846.88,796.71,747.28,698.74,651.24,604.92,559.88,516.22,474.02,433.32,394.16,356.54,320.46,285.86,252.69,220.88,190.31,160.89,132.47,104.91,78.06,51.74,25.78,0.00
475,1000.00,948.75,897.70,847.02,796.90,747.50,699.00,651.54,605.24,560.22,516.58,474.39,433.70,394.55,356.93,320.83,286.22,253.03,221.19,190.60,161.14,132.69,105.09,78.19,51.83,25.82,0.00
476,1000.00,948.80,897.79,847.16,797.08,747.73,699.26,651.83,605.56,560.57,516.95,474.77,434.09,394.93,357.31,321.20,286.57,253.37,221.50,190.88,161.39,132.90,105.26,78.32,51.92,25.87,0.00
477,1000.00,948.85,897.89,847.30,797.26,747.95,699.52,652.12,605.88,560.91,517.31,475.14,434.47,395.31,357.69,321.57,286.93,253.70,221.81,191.16,161.64,133.11,105.44,78.46,52.01,25.91,0.00
478,1000.00,948.90,897.98,847.44,797.44,748.17,699.78,652.41,606.20,561.25,517.67,475.51,434.85,395.70,358.06,321.94,287.28,254.04,222.12,191.45,161.89,133.33,105.61,78.59,52.10,25.96,0.00
479,1000.00,948.94,898.07,847.57,797.62,748.39,700.03,652.70,606.51,561.59,518.02,475.89,435.23,396.08,358.44,322.31,287.63,254.37,222.43,191.73,162.14,133.54,105.79,78.72,52.19,26.00,0.00
